TIMESTAMP,STRIDE_LENGTH,HEADING
1615126684915,9.248962158351945,-65.4858043072465
1615126685690,9.248962158351945,-69.13394644044772
1615126685985,0.6118938731831047,-69.94702054791755
1615126686309,0.6434453354474479,-69.39686628094682
1615126686629,1.0508549329847106,-70.35922476386925
1615126687052,1.1543339769311167,-70.05386921041587
1615126687604,0.5818315199648327,-70.51093606227414
1615126687799,0.87469290410082,-70.73063837752036
1615126688123,0.4305044528669377,-70.26153227101736
1615126688856,0.7107578684269633,-72.3291190417226
1615126689173,0.5842967590039394,-71.62315754035774
1615126689589,0.22287071096676936,-70.62011215659038
1615126689842,0.027994699195128536,-70.59964498587462
1615126690491,0.22652698143427186,-70.90970599763232
1615126690836,0.16706682340094758,-71.01347416191321
1615126691379,0.16036544611231385,-70.85417184445414
1615126691905,0.5481377683963506,-70.83390831804911
1615126692399,0.5861910363738221,-69.9396560769852
1615126692694,0.3756563093060339,-69.9891614348039
1615126693076,0.21007819930322302,-69.8590678651998
1615126693568,0.2555486302898968,-70.59034248917673
1615126694497,0.45497740099900597,-71.69169933590726
1615126695524,0.46081787368136284,-72.21685161867222
1615126695805,0.13510437759709726,-72.19894393398307
1615126696619,0.5029044155707862,-70.01264991453013
1615126696958,0.42747508136037116,-71.1350651913839
1615126697344,0.44424233508407074,-72.12944896949884
1615126697807,0.5459297986226086,-73.04434243487242
1615126698642,0.5549292243806403,-71.65630134879247
1615126699204,0.28203768843786614,-71.26720698864685
1615126699548,0.2092391315341513,-71.44520867090077
1615126700274,0.4745553697834026,-71.05120573084368
1615126700740,0.2742869147429339,-70.51107658999972
1615126701559,0.4920272640018952,-70.8916617280023
1615126701936,0.520344903139125,-70.34129315218077
1615126702553,0.3153848118934488,-69.74987832336335
1615126702862,0.30564491654736514,-69.44943716350737
1615126703767,0.49355546271903306,-70.03338052330861
1615126704322,0.33414111835413207,-71.29262244811943
1615126707471,16.16938240335659,-160.9263663859765
1615126707745,0.6490216407771487,-160.748962067845
1615126708178,0.9193831314490486,-160.64373080763335
1615126708927,1.3366101203195124,-160.90388857681276
1615126709298,0.6143283080701123,-160.1718229777412
1615126709816,0.4311676811448084,-160.1236654506811
1615126710080,0.8075055862152913,-159.18523494315096
1615126710485,0.4117460205326573,-158.98540366482962
1615126711035,0.5575473748976867,-157.99171710309628
1615126711415,0.2810609776142936,-157.491518395134
1615126711908,0.4749549504149553,-157.7794220455769
1615126712134,0.1332177265583412,-158.3061293528017
1615126712569,0.22107744115087424,-157.19710090591175
1615126713192,1.577536064350632,-156.38069499915585
1615126714040,1.0290968997264527,-156.58965385672266
1615126714524,1.2499596696462356,-155.9944111490537
1615126714944,0.21713103169893722,-156.61749362638548
1615126715335,0.991718403384565,-156.8273035494436
1615126715790,0.6177030998102917,-157.11123174989316
1615126716002,0.2724527573331015,-157.3550189935195
1615126716227,0.45615351426759765,-157.24241079562358
1615126716610,0.5324393259239513,-157.3934311921529
1615126716990,0.34934097671662667,-156.94768507889268
1615126717197,0.5003880199129851,-156.91238822565418
1615126717662,0.33098283720830235,-157.00568010771036
1615126717935,0.4615896079318138,-156.87604207597553
1615126718230,0.30558198524784363,-157.04276434468065
1615126718489,0.23619715444501033,-157.175695429167
1615126719030,0.5634729458772292,-157.2206779964281
