TIMESTAMP,X_x,Y_x,X_y,Y_y,ORIENTATION,ROLL,PITCH,YAW,ACC_X,ACC_Y,ACC_Z,RRATE_X,RRATE_Y,RRATE_Z,MAG_X,MAG_Y,MAG_Z,QUAT_W,QUAT_X,QUAT_Y,QUAT_Z
1615126639555.0,6.8,33.7,6.8,33.7,0,-10.909571373484257,14.976016632347406,121.48296551508174,-0.67425537109375,2.978271484375,9.32855224609375,0.0343017578125,-0.051116943359375,0.0102081298828125,18.634033203125,-18.6798095703125,-15.57159423828125,0.4931961894035339,0.0671136528253555,0.1456304639577865,0.8550117015838623
1615126639555.0,7.242422090503209,33.72765580379615,6.8,33.7,0,-10.909571373484257,14.976016632347406,121.48296551508174,-0.67425537109375,2.978271484375,9.32855224609375,0.0343017578125,-0.051116943359375,0.0102081298828125,18.634033203125,-18.6798095703125,-15.57159423828125,0.4931961894035339,0.0671136528253555,0.1456304639577865,0.8550117015838623
1615126640614.0,7.605171665814398,33.73953025542344,6.8,33.7,0,-12.130776017587904,13.794226429310005,122.75158822346847,-0.6527099609375,2.998626708984375,9.193283081054688,-0.007781982421875,0.008544921875,-0.0340118408203125,18.85986328125,-14.593505859375,-14.72930908203125,0.4840714931488037,0.0545667260885238,0.149285152554512,0.8604714870452881
1615126640777.0,8.141509197201986,33.786443742244046,6.8,33.7,0,-11.8244514615186,13.705728451311003,122.5030162001552,-0.84783935546875,2.8693389892578125,9.151382446289062,-0.0072479248046875,0.009613037109375,0.04217529296875,16.75262451171875,-16.3238525390625,-14.947509765625,0.485765129327774,0.0548683404922485,0.1467467844486236,0.8599343299865723
1615126641223.0,8.72326800055192,33.8303349451148,6.8,33.7,0,-11.698559613060764,13.51336336613404,122.47900889335516,-0.604827880859375,2.9806671142578125,9.212432861328123,0.025787353515625,-0.0223541259765625,0.0006256103515625,19.305419921875,-16.20330810546875,-12.09564208984375,0.4858310222625732,0.053908035159111,0.1450334936380386,0.8602484464645386
1615126641662.0,9.383406077424237,33.88000015899817,6.8,33.7,0,-12.00894314355307,13.690941169085638,122.8736305982496,-0.521026611328125,2.9591217041015625,9.104690551757812,-0.033355712890625,-0.0186309814453125,0.00115966796875,20.013427734375,-16.90216064453125,-14.87274169921875,0.4830653965473175,0.0544523149728775,0.147895872592926,0.8612836599349976
1615126641783.0,10.02429745782812,33.93552944620808,6.8,33.7,0,-11.652765958344204,13.59877908187741,122.6810305727975,-0.572509765625,2.866943359375,9.408767700195312,0.0081939697265625,-0.0479278564453125,0.0054168701171875,18.10302734375,-16.314697265625,-16.09649658203125,0.48431596159935,0.0550076067447662,0.1449394226074218,0.8610486388206482
1615126642185.0,10.790819456097186,33.97203598583568,6.8,33.7,0,-12.59174365263983,13.580447952250791,123.53130677423844,-0.5593414306640625,3.0273590087890625,9.159759521484377,0.0076751708984375,0.003753662109375,-0.0052337646484375,18.9300537109375,-16.7236328125,-16.87774658203125,0.4783506989479065,0.0520235337316989,0.1515342742204666,0.8634300827980042
1615126642563.0,11.628976410185594,34.03433971308011,6.8,33.7,0,-12.453332595958264,13.192528134464546,123.27580837143816,-0.59405517578125,2.918426513671875,9.454254150390623,-0.0008544921875,0.0069427490234375,0.0048828125,17.5872802734375,-15.02685546875,-13.079833984375,0.48007732629776,0.0493041463196277,0.1490580737590789,0.86306232213974
1615126643036.0,12.377298672245635,34.07702132093444,6.8,33.7,0,-12.414796300783108,13.39949922670722,123.40438155888688,-0.5006866455078125,2.9004669189453125,9.466217041015623,-0.015777587890625,0.0586090087890625,-0.0105743408203125,17.681884765625,-17.5689697265625,-13.77105712890625,0.4791642129421234,0.0512135662138462,0.1495378017425537,0.8633754849433899
1615126643384.0,13.00041119039678,34.154776143250274,6.8,33.7,0,-11.898610652332083,13.657515010961932,122.86257053610346,-0.67425537109375,2.7951202392578125,9.388412475585938,0.0034027099609375,-0.02288818359375,0.0522918701171875,18.316650390625,-14.1204833984375,-14.17083740234375,0.4830860495567322,0.0546484924852848,0.1469372361898422,0.8614237308502197
1615126644393.0,13.641129958400912,34.17752240262133,6.8,33.7,0,-11.99622408403336,14.28442105053398,121.76323913382926,-0.4863128662109375,2.9687042236328125,9.469818115234377,-0.0290985107421875,-0.0015716552734375,-0.023345947265625,16.8304443359375,-18.26934814453125,-17.4652099609375,0.491546630859375,0.0575695559382438,0.1507516950368881,0.8557695746421814
1615126644952.0,14.027859814155123,34.204466797098945,6.8,33.7,0,-12.059987075555783,13.947275381883603,122.0932778257816,-0.6706695556640625,2.904052734375,9.38720703125,-0.0051116943359375,-0.032470703125,0.003814697265625,20.06683349609375,-15.716552734375,-16.64886474609375,0.4890176951885223,0.0551721900701522,0.1496897637844085,0.8575608730316162
1615126645557.0,14.74213059443993,34.219812316709714,6.8,33.7,0,-12.0098865010934,13.544770634433917,122.47736417145296,-0.5545501708984375,2.930389404296875,9.38482666015625,0.0422821044921875,-0.0575103759765625,-0.040924072265625,18.6370849609375,-15.12298583984375,-17.0166015625,0.4859975576400757,0.0528247058391571,0.147498145699501,0.8598024249076843
1615126645968.0,15.212719511520136,34.237650088976416,6.8,33.7,0,-12.07456139269858,13.119054165337468,122.47170815744856,-0.609619140625,2.9052581787109375,9.250747680664062,-0.0024566650390625,0.025054931640625,-0.02069091796875,17.55523681640625,-16.55426025390625,-15.40985107421875,0.4859358966350555,0.0493045635521411,0.1462599635124206,0.8602577447891235
1615126646487.0,15.955793982967265,34.298046087101405,6.8,33.7,0,-12.295868103760936,13.20360722989654,122.5685581079994,-0.489898681640625,2.8753204345703125,9.438690185546877,0.050811767578125,-0.01702880859375,0.0091400146484375,19.45037841796875,-14.46990966796875,-15.81878662109375,0.4853316843509674,0.0491345077753067,0.1482223570346832,0.8602727055549622
1615126646800.0,16.264663692420093,34.31494575619696,6.8,33.7,0,-12.397175452455894,13.415333186623268,122.46801754029192,-0.688629150390625,2.8430023193359375,9.553604125976562,-0.0338897705078125,0.007476806640625,-0.0169525146484375,19.09332275390625,-16.7266845703125,-15.1702880859375,0.4862006604671478,0.050185140222311,0.1498832553625106,0.8594331741333008
