TIMESTAMP,X,Y,ORIENTATION,WAP_001,WAP_002,WAP_003,WAP_004,WAP_005,WAP_006,WAP_007,WAP_008,WAP_009,WAP_010,WAP_011,WAP_012,WAP_013,WAP_014,WAP_015,WAP_016,WAP_017,WAP_018,WAP_019,WAP_020,WAP_021,WAP_022,WAP_023,WAP_024,WAP_025,WAP_026,WAP_027,WAP_028,WAP_029,WAP_030,WAP_031,WAP_032,WAP_033,WAP_034,WAP_035,WAP_036,WAP_037,WAP_038,WAP_039,WAP_040,WAP_041,WAP_042,WAP_043,WAP_044,WAP_045,WAP_046,WAP_047,WAP_048,WAP_049,WAP_050,WAP_051,WAP_052,WAP_053,WAP_054,WAP_055,WAP_056,WAP_057,WAP_058,WAP_059,WAP_060,WAP_061,WAP_062,WAP_063,WAP_064,WAP_065,WAP_066,WAP_067,WAP_068,WAP_069,WAP_070,WAP_071,WAP_072,WAP_073,WAP_074,WAP_075,WAP_076,WAP_077,WAP_078,WAP_079,WAP_080,WAP_081,WAP_082,WAP_083,WAP_084,WAP_085,WAP_086,WAP_087,WAP_088,WAP_089,WAP_090,WAP_091,WAP_092,WAP_093,WAP_094,WAP_095,WAP_096,WAP_097,WAP_098,WAP_099,WAP_100,WAP_101,WAP_102,WAP_103,WAP_104,WAP_105,WAP_106,WAP_107,WAP_108,WAP_109,WAP_110,WAP_111,WAP_112,WAP_113,WAP_114,WAP_115,WAP_116,WAP_117,WAP_118,WAP_119,WAP_120,WAP_121,WAP_122,WAP_123,WAP_124,WAP_125,WAP_126,WAP_127,WAP_128,WAP_129,WAP_130,WAP_131,WAP_132,WAP_133,WAP_134,WAP_135,WAP_136,WAP_137,WAP_138,WAP_139,WAP_140,WAP_141,WAP_142,WAP_143,WAP_144,WAP_145,WAP_146,WAP_147,WAP_148,WAP_149,WAP_150,WAP_151,WAP_152,WAP_153,WAP_154,WAP_155,WAP_156,WAP_157,WAP_158,WAP_159,WAP_160,WAP_161,WAP_162,WAP_163,WAP_164,WAP_165,WAP_166,WAP_167,WAP_168,WAP_169,WAP_170,WAP_171,WAP_172,WAP_173,WAP_174,WAP_175,WAP_176,WAP_177,WAP_178,WAP_179,WAP_180,WAP_181,WAP_182,WAP_183,WAP_184,WAP_185,WAP_186,WAP_187,WAP_188,WAP_189,WAP_190,WAP_191,WAP_192,WAP_193,WAP_194,WAP_195,WAP_196,WAP_197,WAP_198,WAP_199,WAP_200,WAP_201,WAP_202,WAP_203,WAP_204,WAP_205,WAP_206,WAP_207,WAP_208,WAP_209,WAP_210,WAP_211,WAP_212,WAP_213,WAP_214,WAP_215,WAP_216,WAP_217,WAP_218,WAP_219,WAP_220
1615111894210,6.8,34.6,0,-74,-72,100,100,100,100,100,100,100,100,100,100,100,100,100,-87,100,100,100,100,100,100,100,100,100,100,100,100,-79,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-79,-79,-78,-79,-80,-80,100,100,100,100,100,100,100,100,100,100,100,100,-45,-44,-44,-57,-58,-58,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-49,-49,-54,-61,-61,-60,100,100,100,-76,-76,-76,100,100,100,100,100,100,-80,100,100,-89,-88,-88,100,100,100,100,100,-66,-73,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-82,-83,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1615111897867,6.8,34.6,0,-74,-73,100,100,100,100,100,100,100,100,100,100,100,100,100,-86,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-78,100,100,-82,-81,-81,100,100,100,100,100,100,100,100,100,100,100,100,-43,-43,-43,-56,-56,-57,100,-81,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-51,-51,-52,-60,-61,-60,-71,-70,-70,-76,-76,-76,100,100,100,100,100,100,-81,100,-82,-91,-90,-91,100,100,100,100,100,-69,-73,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-92,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1615111901863,6.8,34.6,0,-74,-73,100,100,100,100,100,100,100,100,100,100,100,100,100,-86,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-80,-77,-78,-80,-80,-80,100,100,100,100,100,100,100,100,100,100,100,100,-43,-45,-44,-56,-56,-57,-83,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-51,-51,-51,-61,-60,-61,-70,-70,-71,-77,-77,-78,100,100,100,100,100,100,-80,100,-81,-87,-88,-87,100,100,100,100,100,-67,-73,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-87,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1615111905834,6.8,34.6,0,-73,-73,100,100,100,100,100,100,100,100,100,100,100,100,100,-87,100,100,100,100,100,100,100,100,100,100,100,100,-76,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-79,-76,-78,-79,-79,-79,100,100,100,100,100,100,100,100,100,100,100,100,-42,-44,-43,-59,-59,-59,-84,100,100,-90,-90,-91,100,100,100,100,100,100,100,100,100,100,100,100,-51,-50,-51,-60,-59,-60,-70,-69,-69,-76,-77,-76,100,100,100,100,100,100,100,-80,-79,-88,-87,-87,100,100,100,100,100,-69,-72,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-85,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1615111909739,6.8,34.6,0,-74,-72,100,100,100,100,100,100,100,100,100,100,100,100,100,-88,100,100,100,100,100,100,100,100,100,-85,100,100,-82,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-78,-77,-79,-79,-79,-79,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-58,-60,-60,-82,100,-85,-88,100,-88,100,100,100,100,100,100,100,100,100,100,100,100,-50,-49,-49,-59,-60,-59,100,100,100,-78,-79,-79,100,100,100,100,100,100,-82,-79,100,-85,-86,-86,100,100,100,100,100,100,-73,-85,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1615111913566,6.8,34.6,90,-73,-72,100,100,100,100,100,100,100,100,100,100,100,100,100,-88,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-78,-77,-79,-80,-80,-80,100,100,100,100,100,100,100,100,100,100,100,100,-45,-44,-44,-54,-55,-53,100,-86,100,-90,-90,100,100,100,100,100,100,100,100,100,100,100,100,100,-49,-49,-49,-60,-60,-60,100,-68,-68,-82,-82,-83,100,100,100,100,100,100,-81,100,-83,-85,-85,-85,100,100,100,100,100,-68,-72,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1615111913573,6.8,34.6,90,-73,-72,100,100,100,100,100,100,100,100,100,100,100,100,100,-88,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-78,-77,-79,-80,-80,-80,100,100,100,100,100,100,100,100,100,100,100,100,-45,-44,-44,-54,-55,-53,100,-86,100,-90,-90,100,100,100,100,100,100,100,100,100,100,100,100,100,-49,-49,-49,-60,-60,-60,100,-68,-68,-82,-82,-83,100,100,100,100,100,100,-81,100,-83,-85,-85,-85,100,100,100,100,100,-68,-72,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1615111917333,6.8,34.6,90,-72,-74,100,100,100,100,100,100,100,100,100,100,100,100,100,-86,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-80,-80,-79,100,100,100,100,100,100,100,100,100,100,100,100,-46,-46,-46,-50,-53,-52,100,100,100,-89,-89,-89,100,100,100,100,100,100,100,100,100,100,100,100,-54,-53,-52,-61,-61,-62,100,100,100,-81,-81,-81,100,100,100,100,100,100,-79,100,100,-85,-85,-85,100,100,100,100,100,-67,-74,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1615111920988,6.8,34.6,90,-71,-73,100,100,100,100,100,100,100,100,100,100,100,100,100,-86,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-78,-79,-79,-81,-80,-81,100,100,100,100,100,100,100,100,100,100,100,100,-47,-46,-46,-51,-52,-51,100,100,100,-89,-88,-88,100,100,100,100,100,100,100,100,100,100,100,100,-53,-53,-53,-61,-61,-61,100,100,100,-79,-80,-81,100,100,100,100,100,100,100,100,-83,-87,-87,-87,100,100,100,100,100,-67,-76,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1615111925096,6.8,34.6,90,-68,-74,100,100,100,100,100,100,100,100,100,100,100,100,100,-87,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-78,-79,-78,-81,-81,-81,100,100,100,100,100,100,100,100,100,100,100,100,-47,-46,-46,-52,-51,-52,-83,-82,100,-88,-89,-89,100,100,100,100,100,100,100,100,100,100,100,100,-53,-54,-52,-60,-61,-60,-70,-71,-70,-83,-82,-83,100,100,100,100,100,100,100,-86,-82,-84,-86,-85,100,100,100,100,100,-75,-73,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
