TIMESTAMP,X,Y
1615126684915,6.8,33.7
1615126684915,10.637567201248327,25.284753183504996
1615126685690,13.931903626052753,16.64237801652497
1615126685985,14.141715242341366,16.067579619076454
1615126686309,14.36813905168146,15.465288860162623
1615126686629,14.721354420312398,14.475574258097355
1615126687052,15.115139870613202,13.390484423369832
1615126687604,15.30925453491756,12.841988831111705
1615126687799,15.597911640029858,12.016298361170023
1615126688123,15.7433047357386,11.611088623307653
1615126688856,15.959054474346035,10.933867243091653
1615126689173,16.14326308358166,10.37936756692765
1615126689589,16.21721827566854,10.169124889599221
1615126689842,16.22651719025096,10.142719712633054
1615126690491,16.300604610610343,9.928650734352185
1615126690836,16.354959098132476,9.770673162629205
1615126691379,16.407554733006208,9.619178029047196
1615126691905,16.58751258089722,9.101423081098877
1615126692399,16.788581755996518,8.550795150505174
1615126692694,16.917130555256886,8.197817999785544
1615126693076,16.989466885875554,8.00058639710709
1615126693568,17.074390835417276,7.759561449773256
1615126694497,17.217312886238904,7.327615014658032
1615126695524,17.35805369465517,6.888815359290633
1615126695805,17.39935683957197,6.760179271562962
1615126696619,17.571255939182922,6.287565739431753
1615126696958,17.70947502685059,5.883053157441559
1615126697344,17.84579855064983,5.460244513797763
1615126697807,18.00500888350783,4.938045878281194
1615126698642,18.179654254249844,4.411314980620839
1615126699204,18.27023208784396,4.14421778153262
1615126699548,18.33681436121495,3.945854944695886
1615126700274,18.490913407627467,3.4970161285435664
1615126700740,18.582422274986346,3.2384442066458234
1615126701559,18.743490063797516,2.7735270140957193
1615126701936,18.91854275385966,2.283511326668397
1615126702553,19.02770344517082,1.9876202604877218
1615126702862,19.13499515595944,1.7014257395630605
1615126703767,19.303530833104908,1.2375370456838957
1615126704322,19.41070156904844,0.9210489411171183
1615126707471,4.129028101747105,-4.362830632146838
1615126707745,3.5162977730458183,-4.5768180955335405
1615126708178,2.6488819419472205,-4.881539473767145
1615126708927,1.3858239825409828,-5.318816508289989
1615126709298,0.8079166995173486,-5.527197031191069
1615126709816,0.4024342647424285,-5.673790224596472
1615126710080,-0.35236877065287686,-5.960735601849591
1615126710485,-0.7367291929929375,-6.108390101147952
1615126711035,-1.2536479180191105,-6.31732575385619
1615126711415,-1.5132984778529601,-6.42492157122597
1615126711908,-1.9529808145349563,-6.604536848230829
1615126712134,-2.07676301204393,-6.653780429022872
1615126712569,-2.2805618235854093,-6.739461695353961
1615126713192,-3.7259441985565087,-7.3715137695138235
1615126714040,-4.670328821796321,-7.780387970723432
1615126714524,-5.812174203082966,-8.288903753149585
1615126714944,-6.011473531334066,-8.375076038052013
1615126715335,-6.923183032114539,-8.765321060823926
1615126715790,-7.492249220315964,-9.005572581029613
1615126716002,-7.743698113760577,-9.110472337768556
1615126716227,-8.164339958871672,-9.286927620263056
1615126716610,-8.65586992288583,-9.491597916756204
1615126716990,-8.977315221171386,-9.628389869090528
1615126717197,-9.437625315695005,-9.824611140496295
1615126717662,-9.742309443125405,-9.95390623328188
1615126717935,-10.166813724857143,-10.13518248915139
1615126718230,-10.44819246494748,-10.25437290123721
1615126718489,-10.665895071969182,-10.345995336611274
1615126719030,-11.185418787825025,-10.564162404242712
1615126719343,-11.370135263955262,-10.640148250920799
1615126719663,-11.585971513663452,-10.729721982488254
1615126719898,-11.80068443438874,-10.819092122279399
1615126720486,-12.782795578357383,-11.235512442641925
1615126720894,-13.383755911670562,-11.49179444501961
1615126721280,-13.866755751488117,-11.70178865114741
1615126721688,-14.375461634105319,-11.92673214824081
1615126722168,-15.09655229614473,-12.23809626926134
1615126722595,-15.787774344035423,-12.52682584991323
1615126723083,-16.269301050266787,-12.730123690887117
1615126723527,-17.223549652475892,-13.12114404394732
1615126723953,-17.438645670977873,-13.206060226105098
1615126724496,-18.730484484244627,-13.699245225449538
1615126724803,-19.47216506758525,-13.984505699212304
1615126725067,-19.670379240457045,-14.060727040214115
1615126725424,-21.30686542525106,-14.687775982765293
1615126725972,-22.85012101217688,-15.281508891647965
1615126726173,-23.028938551572416,-15.351014386719527
1615126726380,-23.10758055717025,-15.381837463318133
1615126726804,-23.399699740005193,-15.495537392156592
1615126727324,-24.023199381468316,-15.749133729757414
1615126752758,-30.98949087633646,-11.694385730493355
1615126753090,-33.14100767809104,-10.506683693202971
1615126753502,-34.04128050520613,-9.993018154598975
1615126753947,-34.15898544099938,-9.927537583948371
1615126754721,-35.20467972850518,-9.379467758768845
1615126755084,-35.66823468612833,-9.124818250530199
1615126755503,-36.10123682679335,-8.889796434575192
1615126755950,-36.48194438122702,-8.68756241284636
1615126756195,-36.86896601058619,-8.48021988767388
1615126756622,-37.58135635716385,-8.108176428878295
1615126756985,-38.0185299919131,-7.891178062160122
1615126757596,-38.3186305927559,-7.748169092152944
1615126757996,-39.3901293764727,-7.250072406351296
1615126758403,-40.12462827542395,-6.898240869562973
1615126758907,-40.61985523184842,-6.651873779894919
1615126759328,-41.17879631424651,-6.380482270611782
1615126759774,-41.761743687810046,-6.08595792908724
1615126760119,-42.16457845634052,-5.880036411469239
1615126760812,-43.10739010713405,-5.363797249494121
1615126761014,-43.92039939059621,-4.9006847381502485
1615126761312,-44.73865012561159,-4.419677811557982
1615126762022,-45.55643473936343,-3.966683636515892
1615126762405,-46.16936404669484,-3.633697435908637
1615126762770,-46.53569837740001,-3.4438540967706435
1615126763233,-46.91568371552321,-3.247978300855853
1615126763601,-47.246221988504786,-3.0672362759400444
1615126763920,-47.41250249832112,-2.9786067908115315
1615126764426,-47.826905763060715,-2.7526234224427464
1615126764847,-48.146127123239985,-2.5861409082754516
1615126765314,-49.33309127113051,-1.982707956020263
1615126765679,-50.65381387448004,-1.3104675106719987
1615126766093,-50.868881833558106,-1.200529853642485
1615126766441,-51.39507786488731,-0.9218765125188557
1615126766956,-51.651406318620175,-0.7844375769570965
1615126767236,-52.04017899959085,-0.5694124996247055
1615126767894,-52.38822205008491,-0.3772809590054459
1615126768398,-53.205465997713965,0.034636641058282014
1615126768918,-53.956316152163616,0.424978072274417
1615126769301,-54.26191923526731,0.5866118805923731
1615126769792,-54.51454034259317,0.7149103177629917
1615126770206,-54.81617226325465,0.8731864350822478
1615126770755,-55.2971285155011,1.1245109235675192
1615126771109,-55.923142626633144,1.4583171692712624
1615126771502,-56.26057052581448,1.6390477979965705
1615126771842,-56.40285471770355,1.7134997582600136
