TIMESTAMP,X_x,Y_x,X_y,Y_y,ORIENTATION,ROLL,PITCH,YAW,ACC_X,ACC_Y,ACC_Z,RRATE_X,RRATE_Y,RRATE_Z,MAG_X,MAG_Y,MAG_Z,QUAT_W,QUAT_X,QUAT_Y,QUAT_Z,ACC_E,ACC_N,ACC_U
1615126639334,6.8,33.7,6.8,33.7,0,-11.053878602684,14.63734690873528,121.24362074720108,-0.5018768310546875,3.261993408203125,9.012527465820312,0.0492095947265625,-0.0132904052734375,-0.0169525146484375,16.949462890625,-16.14990234375,-14.208984375,0.4950047135353088,0.0636259019374847,0.1454465091228485,0.8542642593383789,-4.898170581182377,-1.1470511222997564,8.285591059673669
1615126639334,5.968199129018963,33.54045273950585,6.8,33.7,0,-11.053878602684,14.63734690873528,121.24362074720108,-0.5018768310546875,3.261993408203125,9.012527465820312,0.0492095947265625,-0.0132904052734375,-0.0169525146484375,16.949462890625,-16.14990234375,-14.208984375,0.4950047135353088,0.0636259019374847,0.1454465091228485,0.8542642593383789,-4.898170581182377,-1.1470511222997564,8.285591059673669
1615126640067,5.142116947985855,33.35354033361587,6.8,33.7,0,-12.06148946260567,14.69660730673752,123.40418872027172,-0.7089691162109375,3.31585693359375,8.874847412109375,0.1078033447265625,-0.0889434814453125,-0.0419921875,16.9219970703125,-15.85845947265625,-12.95013427734375,0.4793922007083893,0.0625964403152465,0.1520434468984604,0.8620600700378418,-5.030711100321142,-1.4946143636103333,8.24038249701845
1615126640616,4.329960509040916,33.11322817001137,6.8,33.7,0,-12.0958777056718,13.877549568970029,122.67767908563432,-0.5868682861328125,3.15185546875,8.92034912109375,0.0374908447265625,-0.0564422607421875,-0.025482177734375,17.37213134765625,-14.59808349609375,-15.4571533203125,0.4846347272396087,0.0552523098886013,0.149394541978836,0.8600916266441345,-4.930441494261562,-1.5095713572845688,8.322183478550281
1615126642192,3.518286202792254,32.871292563140955,6.8,33.7,0,-12.583164359830368,13.653460735803655,123.38321334011582,-0.589263916015625,3.1063690185546875,9.16455078125,-0.010986328125,-0.0164947509765625,-0.0116424560546875,19.30084228515625,-17.1966552734375,-18.32733154296875,0.4794877171516418,0.0524211227893829,0.1518277078866958,0.8627235293388367,-4.977643550061515,-1.5924227484024203,8.2111755908507
1615126643817,2.634065666998485,32.61897572037889,6.8,33.7,0,-11.942112844810342,13.817072524434389,123.09907009503551,-0.4276580810546875,2.8813018798828125,9.249542236328123,0.066253662109375,0.00482177734375,-0.0521087646484375,17.30804443359375,-16.61224365234375,-15.59906005859375,0.4813755750656128,0.0559860169887542,0.1477912962436676,0.8621490001678467,-4.981448259346438,-1.3362585553698754,8.271419385897442
1615126644514,1.814918257009433,32.40369558194474,6.8,33.7,0,-12.063846393990309,14.29791706870814,121.98671260258736,-0.530609130859375,3.1087646484375,9.153778076171877,-0.0104522705078125,0.021331787109375,-0.0132293701171875,17.80853271484375,-16.50543212890625,-13.85040283203125,0.4899145662784576,0.0576767213642597,0.1511996835470199,0.8566188216209412,-5.009104710962864,-1.3016835827769764,8.279607544988115
1615126645209,0.9974989572526848,32.181944131710054,6.8,33.7,0,-12.128517910257674,13.65382788958746,122.73228554880048,-0.4444122314453125,3.0237579345703125,9.38482666015625,-0.0573272705078125,0.0314483642578125,0.0208587646484375,15.41900634765625,-17.24090576171875,-13.7786865234375,0.4841723442077636,0.0534820184111595,0.1487112939357757,0.8605822324752808,-4.994410851863,-1.4000583131678896,8.237567888376763
1615126646670,0.1701695758059009,31.929653284843297,6.8,33.7,0,-12.448322055056693,13.47821662493512,122.61628667621552,-0.53179931640625,3.115936279296875,9.302215576171877,0.0199127197265625,-0.0292816162109375,-0.037200927734375,19.10247802734375,-15.30609130859375,-15.19012451171875,0.4851318299770355,0.0506411120295524,0.1504560559988021,0.8599101901054382,-4.925789931618621,-1.5045529042176609,8.265767676758356
1615126647316,-0.6399649432810816,31.682610619945702,6.8,33.7,0,-12.99389914193219,13.700127985511456,122.94069468424767,-0.6718597412109375,3.1207275390625,9.135818481445312,0.0316314697265625,-0.012237548828125,-0.0622406005859375,18.5882568359375,-18.0908203125,-14.61029052734375,0.4830155968666076,0.0504591055214405,0.1553007215261459,0.8602508306503296,-5.0286173171407444,-1.6350529207614406,8.184150986622033
1615126648479,-1.4917224651762808,31.423763512094094,6.8,33.7,0,-12.577770781337952,13.111371626677522,122.74085573611816,-0.6718597412109375,2.99981689453125,9.20526123046875,-0.0045928955078125,-0.0010528564453125,0.0576171875,19.53125,-16.41387939453125,-18.756103515625,0.4841246008872986,0.0474639497697353,0.1498940289020538,0.8607568144798279,-4.889597728726438,-1.5069017354626844,8.316307756125745
1615126661826,-2.306807925814408,31.19358160760912,6.8,33.7,90,13.67449494253176,6.1682777027797355,27.930130784549984,-0.225341796875,2.5078125,9.590713500976562,-0.025360107421875,0.04583740234375,-0.0244140625,10.6353759765625,13.836669921875,-24.2095947265625,0.9606002569198608,0.1282551884651184,0.0231522154062986,0.2454827427864074,0.760450217956124,0.7212762399537326,9.899833948355605
1615126662473,-1.9229868598905204,31.777025733132714,6.8,33.7,90,14.24497599594791,8.160271336263843,27.218118589179618,-0.4767303466796875,2.9722900390625,9.57635498046875,0.01458740234375,0.0586090087890625,-0.050506591796875,11.016845703125,15.67535400390625,-25.32958984375,0.9599036574363708,0.1368168145418167,0.0395197197794914,0.2414628118276596,0.554419865892127,0.8467136425604839,9.759259242534178
